sku,description
115330150020,CHAPA INOX. 3000x1500x2 A316 SAT+PVC
115130150020,CHAPA INOX. 3000x1500x2 A316L 2B
119630150020,CHAPA INOX. 3000x1500x2 A430 BA
119230150020,CHAPA INOX. 3000x1500x2 A430 BAP
119330150020,CHAPA INOX. 3000x1500x2 A430 SAT+PVC
111130150025,"CHAPA INOX. 3000x1500x2,5 A304 2B"
111P30150025,"CHAPA INOX. 3000x1500x2,5 A304 2B + PVC"
111330150025,"CHAPA INOX. 3000x1500x2,5 A304 SAT+PVC"
115P30150025,"CHAPA INOX. 3000x1500x2,5 A316 2B + PVC"
115530150025,"CHAPA INOX. 3000x1500x2,5 A316 PULIDA M+PVC"
115330150025,"CHAPA INOX. 3000x1500x2,5 A316 SAT+PVC"
115130150025,"CHAPA INOX. 3000x1500x2,5 A316L 2B"
111330150030,CHAPA INOX. 3000x1500x3 A304 SAT+PVC
111130150030,CHAPA INOX. 3000x1500x3 A304L 2B
111430150030,CHAPA INOX. 3000x1500x3 A304L LC
117130150030,CHAPA INOX. 3000x1500x3 A310S 2B
115P30150030,CHAPA INOX. 3000x1500x3 A316 2B + PVC
115530150030,CHAPA INOX. 3000x1500x3 A316 PULIDA M+PVC
115330150030,CHAPA INOX. 3000x1500x3 A316 SAT+PVC
115130150030,CHAPA INOX. 3000x1500x3 A316L 2B
111530150040,CHAPA INOX. 3000x1500x4 A304 PULIDO M+PVC
111330150040,CHAPA INOX. 3000x1500x4 A304 SAT+PVC
111130150040,CHAPA INOX. 3000x1500x4 A304L 2B
111P30150040,CHAPA INOX. 3000x1500x4 A304L 2B + PVC
111F30150040,CHAPA INOX. 3000x1500x4 A304L DUPLO
111430150040,CHAPA INOX. 3000x1500x4 A304L LC
115P30150040,CHAPA INOX. 3000x1500x4 A316 2B + PVC
115530150040,CHAPA INOX. 3000x1500x4 A316 PULIDA M+PVC
115330150040,CHAPA INOX. 3000x1500x4 A316 SAT+PVC
115130150040,CHAPA INOX. 3000x1500x4 A316L 2B
115430150040,CHAPA INOX. 3000x1500x4 A316L LC
11T130150040,CHAPA INOX. 3000x1500x4 A316TI 2B
11T430150040,CHAPA INOX. 3000x1500x4 A316TI LC
111P30150050,CHAPA INOX. 3000x1500x5 A304L 2B + PVC
111F30150050,CHAPA INOX. 3000x1500x5 A304L DUPLO
111430150050,CHAPA INOX. 3000x1500x5 A304L LC
115P30150050,CHAPA INOX. 3000x1500x5 A316 2B + PVC
115130150050,CHAPA INOX. 3000x1500x5 A316L 2B
115430150050,CHAPA INOX. 3000x1500x5 A316L LC
116430150050,CHAPA INOX. 3000x1500x5 A321 LC
111230150060,CHAPA INOX. 3000x1500x6 A304 BAP
111F30150060,CHAPA INOX. 3000x1500x6 A304L DUPLO
111430150060,CHAPA INOX. 3000x1500x6 A304L LC
111330150060,CHAPA INOX. 3000x1500x6 A304L SATIN+PVC
111130150080,CHAPA INOX. 3000x1500x8 A304L 2B
111230150080,CHAPA INOX. 3000x1500x8 A304L BAP
111F30150080,CHAPA INOX. 3000x1500x8 A304L DUPLO
111430150080,CHAPA INOX. 3000x1500x8 A304L LC
111330150080,CHAPA INOX. 3000x1500x8 A304L SATIN+PVC
111340125012,"CHAPA INOX. 4000x1250x1,2 A304 SATIN+PVC"
111140125015,"CHAPA INOX. 4000x1250x1,5 A304 2B"
111240125015,"CHAPA INOX. 4000x1250x1,5 A304 BAP"
111E40125015,"CHAPA INOX. 4000x1250x1,5 A304 BAP-ESPECIALES"
111340125015,"CHAPA INOX. 4000x1250x1,5 A304 SATIN+PVC"
115440150120,CHAPA INOX. 4000x1500x12 A316L LC
111440150150,CHAPA INOX. 4000x1500x15 A304L LC
115440150150,CHAPA INOX. 4000x1500x15 A316L LC
111140150020,CHAPA INOX. 4000x1500x2 A304 2B
111P40150020,CHAPA INOX. 4000x1500x2 A304 2B + PVC
111240150030,CHAPA INOX. 4000x1500x3 A304 BA+PVC
111340150030,CHAPA INOX. 4000x1500x3 A304 SATIN+PVC
111440150030,CHAPA INOX. 4000x1500x3 A304L LC
115P40150030,CHAPA INOX. 4000x1500x3 A316 2B + PVC
115140150030,CHAPA INOX. 4000x1500x3 A316L 2B
111340200150,CHAPA INOX. 4000x2000x15 A304 SATIN+PV L.C
111440200150,CHAPA INOX. 4000x2000x15 A304L LC
115440200150,CHAPA INOX. 4000x2000x15 A316L LC
111140200020,CHAPA INOX. 4000x2000x2 A304 2B
111P40200020,CHAPA INOX. 4000x2000x2 A304 2B+PVC
111340200020,CHAPA INOX. 4000x2000x2 A304 SAT+PVC
115P40200020,CHAPA INOX. 4000x2000x2 A316 2B + PVC
115140200020,CHAPA INOX. 4000x2000x2 A316L 2B
111140200025,"CHAPA INOX. 4000x2000x2,5 A304 2B"
111P40200025,"CHAPA INOX. 4000x2000x2,5 A304 2B+PVC"
115P40200025,"CHAPA INOX. 4000x2000x2,5 A316 2B + PVC"
115140200025,"CHAPA INOX. 4000x2000x2,5 A316L 2B"
111140200030,CHAPA INOX. 4000x2000x3 A304 2B
111P40200030,CHAPA INOX. 4000x2000x3 A304 2B + PVC
111340200030,CHAPA INOX. 4000x2000x3 A304 SAT+PVC
111440200030,CHAPA INOX. 4000x2000x3 A304L LC
115P40200030,CHAPA INOX. 4000x2000x3 A316 2B + PVC
115140200030,CHAPA INOX. 4000x2000x3 A316L 2B
111P40200040,CHAPA INOX. 4000x2000x4 A304 2B + PVC
111140200040,CHAPA INOX. 4000x2000x4 A304L 2B
111440200040,CHAPA INOX. 4000x2000x4 A304L LC
115140200040,CHAPA INOX. 4000x2000x4 A316L 2B
115440200040,CHAPA INOX. 4000x2000x4 A316L LC
111440200050,CHAPA INOX. 4000x2000x5 A304L LC
115140200050,CHAPA INOX. 4000x2000x5 A316L 2B
115440200050,CHAPA INOX. 4000x2000x5 A316L LC
111140200060,CHAPA INOX. 4000x2000x6 A304 2B
111440200060,CHAPA INOX. 4000x2000x6 A304L LC
115440200060,CHAPA INOX. 4000x2000x6 A316L LC
111440200080,CHAPA INOX. 4000x2000x8 A304L LC
115440200080,CHAPA INOX. 4000x2000x8 A316L LC
111260125015,"CHAPA INOX. 6000x1250x1,5 A304 BA+PVC"
111160125020,CHAPA INOX. 6000x1250x2 A304 2B
111P60125020,CHAPA INOX. 6000x1250x2 A304 2B + PVC
111160125030,CHAPA INOX. 6000x1250x3 A304 2B
111P60125030,CHAPA INOX. 6000x1250x3 A304 2B + PVC
111260150010,CHAPA INOX. 6000x1500x1 A304 BA+PVC
115460150350,CHAPA INOX. 6000x1500x35 A316L LC
111P60150040,CHAPA INOX. 6000x1500x4 A304 2B + PVC
111160150040,CHAPA INOX. 6000x1500x4 A304L 2B
111460150040,CHAPA INOX. 6000x1500x4 A304L LC
115P60150040,CHAPA INOX. 6000x1500x4 A316 2B + PVC
115160150040,CHAPA INOX. 6000x1500x4 A316L 2B
115160150050,CHAPA INOX. 6000x1500x5 A316L 2B
115460150050,CHAPA INOX. 6000x1500x5 A316L LC
111160150060,CHAPA INOX. 6000x1500x6 A304L 2B
111460150060,CHAPA INOX. 6000x1500x6 A304L LC
111360150060,CHAPA INOX. 6000x1500x6 A304L SATIN+PVC
115460200030,CHAPA INOX. 6000x2000x3 A316L LC
111P60200040,CHAPA INOX. 6000x2000x4 A304 2B + PVC
111160200040,CHAPA INOX. 6000x2000x4 A304L 2B
111460200040,CHAPA INOX. 6000x2000x4 A304L LC
115P60200040,CHAPA INOX. 6000x2000x4 A316 2B + PVC
115160200040,CHAPA INOX. 6000x2000x4 A316L 2B
115160200050,CHAPA INOX. 6000x2000x5 A316L 2B
115460200050,CHAPA INOX. 6000x2000x5 A316L LC
